ts,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
unkown,0.43891414999961853,0.6654272675514221,-3.243710580136394e-07,0.49047625064849854,0.5999470353126526,-0.010814926587045193,0.5290197730064392,0.5202652215957642,-0.02325735241174698,0.5435343384742737,0.4588795602321625,-0.03756586089730263,0.5137337446212769,0.4699456989765167,-0.04781375452876091,0.454082190990448,0.3926727771759033,-0.011201179586350918,0.5179692506790161,0.3855888843536377,-0.036222729831933975,0.5137145519256592,0.45582935214042664,-0.052588071674108505,0.49224263429641724,0.47257161140441895,-0.0636344775557518,0.42148953676223755,0.40100085735321045,-0.02153399959206581,0.4925835430622101,0.40408530831336975,-0.04446268454194069,0.4917052984237671,0.4742679297924042,-0.04947860911488533,0.4705984890460968,0.48612943291664124,-0.05152733996510506,0.3946365714073181,0.42476943135261536,-0.03459387272596359,0.4646908938884735,0.4276406168937683,-0.053990840911865234,0.4673205018043518,0.48767897486686707,-0.04768862575292587,0.4461088478565216,0.49964553117752075,-0.04178273677825928,0.37539976835250854,0.4599415063858032,-0.04959220439195633,0.4352647066116333,0.4573882818222046,-0.05813587084412575,0.4409199059009552,0.5007294416427612,-0.04983651265501976,0.4232095181941986,0.5154683589935303,-0.043033845722675323,
unkown,0.44043391942977905,0.665986955165863,-3.0775208870181814e-07,0.49023866653442383,0.6007603406906128,-0.011295909993350506,0.5287467241287231,0.5204187035560608,-0.024262825027108192,0.5428664684295654,0.45995041728019714,-0.03898439556360245,0.5105443000793457,0.4691738486289978,-0.04944111034274101,0.4568250775337219,0.39300209283828735,-0.012443041428923607,0.5203760266304016,0.3870967626571655,-0.0379357635974884,0.5129579305648804,0.4583491384983063,-0.054144084453582764,0.4910220503807068,0.47341999411582947,-0.06501232087612152,0.42439183592796326,0.40136757493019104,-0.022901345044374466,0.495095819234848,0.403335303068161,-0.0468624122440815,0.49198243021965027,0.4755561649799347,-0.0512995570898056,0.47115516662597656,0.48674941062927246,-0.0525500513613224,0.39713558554649353,0.424423485994339,-0.0361996665596962,0.4661593735218048,0.4262453615665436,-0.05613362416625023,0.4674261510372162,0.48834139108657837,-0.04876453056931496,0.4466799795627594,0.49983686208724976,-0.04191271588206291,0.37714850902557373,0.45885297656059265,-0.05150977894663811,0.43600204586982727,0.45710474252700806,-0.05968041345477104,0.4401434659957886,0.5022525787353516,-0.050603970885276794,0.4218810200691223,0.5165433287620544,-0.043375153094530106,
unkown,0.43992331624031067,0.6661387085914612,-2.71272256213706e-07,0.49097537994384766,0.5983218550682068,-0.012189657427370548,0.5293717980384827,0.5164640545845032,-0.025465751066803932,0.5411710739135742,0.4585531949996948,-0.040259506553411484,0.5097164511680603,0.4710007607936859,-0.05056305602192879,0.45418813824653625,0.3933597803115845,-0.013135671615600586,0.5185011625289917,0.3887344300746918,-0.0389275997877121,0.5099132657051086,0.45899420976638794,-0.05476079881191254,0.48849934339523315,0.47420114278793335,-0.06512600928544998,0.4218105673789978,0.40192240476608276,-0.022960379719734192,0.49462202191352844,0.4056297540664673,-0.048146091401576996,0.4901127219200134,0.47702014446258545,-0.0525631457567215,0.469832181930542,0.48789075016975403,-0.053224917501211166,0.39559197425842285,0.4240940809249878,-0.035712458193302155,0.4669777452945709,0.42834731936454773,-0.056540437042713165,0.4672028422355652,0.4902196526527405,-0.04919467493891716,0.44742897152900696,0.5011497735977173,-0.04179225489497185,0.37713807821273804,0.4571688771247864,-0.0505070723593235,0.4376344084739685,0.4567137360572815,-0.05843788757920265,0.44106072187423706,0.5024028420448303,-0.049125511199235916,0.42318832874298096,0.5160555243492126,-0.04163387417793274,
unkown,0.44767269492149353,0.651096761226654,-3.881101804381615e-07,0.49399518966674805,0.5894442796707153,-0.0097944475710392,0.5251513123512268,0.5149595737457275,-0.020559553056955338,0.5401370525360107,0.46650758385658264,-0.03332257270812988,0.5413334965705872,0.42111194133758545,-0.04219839721918106,0.47219446301460266,0.4005427956581116,-0.018390968441963196,0.5119832754135132,0.36275532841682434,-0.041816119104623795,0.5168798565864563,0.4389323890209198,-0.05151212960481644,0.5023264288902283,0.4726608991622925,-0.055478498339653015,0.44066768884658813,0.4064498841762543,-0.02785445563495159,0.4890831410884857,0.3738684058189392,-0.05264594778418541,0.4961858093738556,0.46168169379234314,-0.05720025673508644,0.47865912318229675,0.4914609491825104,-0.05680190026760101,0.4091917872428894,0.4262262284755707,-0.039120107889175415,0.4561404883861542,0.38718104362487793,-0.06451424956321716,0.46834251284599304,0.4654088616371155,-0.056260254234075546,0.4528924226760864,0.4952619969844818,-0.046268075704574585,0.3767361044883728,0.46108558773994446,-0.050810862332582474,0.41871267557144165,0.4299311935901642,-0.06780363619327545,0.4376572072505951,0.4803325831890106,-0.05801060050725937,0.4308687746524811,0.5065454840660095,-0.047333091497421265,
unkown,0.4487015902996063,0.6507461071014404,-3.7658358564840455e-07,0.49413156509399414,0.591015100479126,-0.01087495218962431,0.5244081020355225,0.5123597383499146,-0.020846756175160408,0.539736270904541,0.4605952203273773,-0.032933276146650314,0.5438804626464844,0.4111473262310028,-0.04070752486586571,0.4777044653892517,0.4021266996860504,-0.016532713547348976,0.5084346532821655,0.3500949740409851,-0.040397245436906815,0.5195368528366089,0.42761924862861633,-0.048613473773002625,0.5101567506790161,0.4723919928073883,-0.050242163240909576,0.44691526889801025,0.4080458879470825,-0.024871211498975754,0.48571592569351196,0.35962623357772827,-0.051092829555273056,0.4986748695373535,0.45245805382728577,-0.05474621430039406,0.48578107357025146,0.4949592053890228,-0.052292350679636,0.41456636786460876,0.4269925057888031,-0.0355958417057991,0.4513356685638428,0.37177449464797974,-0.06207527965307236,0.46811309456825256,0.4559609293937683,-0.05251651629805565,0.4570007920265198,0.4974380135536194,-0.04031318053603172,0.3801024854183197,0.46082210540771484,-0.04690573737025261,0.414259135723114,0.41942694783210754,-0.06472208350896835,0.4347703754901886,0.4694288969039917,-0.05471950024366379,0.4298345446586609,0.5004047155380249,-0.043145447969436646,
unkown,0.4482938051223755,0.6545483469963074,-4.253087695360591e-07,0.49423012137413025,0.5908442139625549,-0.009982092306017876,0.5221546292304993,0.5080900192260742,-0.019970757886767387,0.5369475483894348,0.4547934830188751,-0.03261326998472214,0.5420690178871155,0.4051576554775238,-0.04125851392745972,0.4780082702636719,0.39887601137161255,-0.014733994379639626,0.5066695809364319,0.3385622203350067,-0.040693849325180054,0.519975483417511,0.41545888781547546,-0.05203991383314133,0.512634813785553,0.4667311906814575,-0.055098533630371094,0.4472687542438507,0.4057883322238922,-0.02363826520740986,0.4834575653076172,0.34634292125701904,-0.04998764395713806,0.5004196763038635,0.43910014629364014,-0.05410018935799599,0.4916453957557678,0.49105513095855713,-0.05162568390369415,0.41471990942955017,0.4259592592716217,-0.0353030189871788,0.44791504740715027,0.36175182461738586,-0.061883293092250824,0.46933889389038086,0.4433404207229614,-0.05326798930764198,0.46352726221084595,0.49277767539024353,-0.04120282456278801,0.38004350662231445,0.4615553915500641,-0.04757745563983917,0.4107724130153656,0.4085806906223297,-0.06556275486946106,0.43514686822891235,0.4566226899623871,-0.055789969861507416,0.4357321262359619,0.494692325592041,-0.044079460203647614,
unkown,0.4507169723510742,0.647368311882019,-4.058808542595216e-07,0.4945122003555298,0.5856341123580933,-0.010443567298352718,0.5217110514640808,0.5030858516693115,-0.021191366016864777,0.5364805459976196,0.44878798723220825,-0.035256389528512955,0.5402840971946716,0.39739254117012024,-0.04576651751995087,0.4823977053165436,0.3998507857322693,-0.013196268118917942,0.5034233927726746,0.3259228765964508,-0.04267088696360588,0.5215908885002136,0.3995225727558136,-0.05871562287211418,0.5192180275917053,0.4545964002609253,-0.06391146779060364,0.4514530897140503,0.4093460142612457,-0.022065745666623116,0.4773946702480316,0.33170580863952637,-0.05099207162857056,0.5011193156242371,0.4196266531944275,-0.05849112197756767,0.4986477494239807,0.4797365367412567,-0.05726470425724983,0.4183616042137146,0.43003666400909424,-0.03418033570051193,0.44180408120155334,0.3524809181690216,-0.06112974137067795,0.4717046618461609,0.4280475974082947,-0.055204302072525024,0.47457173466682434,0.48470667004585266,-0.04397387057542801,0.3841201663017273,0.4640468657016754,-0.047189995646476746,0.4042738974094391,0.40166425704956055,-0.06475600600242615,0.4347415268421173,0.43830132484436035,-0.057194534689188004,0.44465965032577515,0.47717171907424927,-0.046744342893362045,
unkown,0.44652462005615234,0.6492080688476562,-4.014688954612211e-07,0.4909767508506775,0.5879397988319397,-0.009281128644943237,0.5175188183784485,0.50367271900177,-0.019302861765027046,0.5326675772666931,0.4486260712146759,-0.03328970819711685,0.5399085879325867,0.39818891882896423,-0.044047679752111435,0.4827650487422943,0.3972510099411011,-0.009371789172291756,0.5036865472793579,0.3196089565753937,-0.03992550075054169,0.5214677453041077,0.38928496837615967,-0.0577283538877964,0.5202627182006836,0.44473645091056824,-0.06387320905923843,0.4511289894580841,0.4073666036128998,-0.018707849085330963,0.4746313989162445,0.32701441645622253,-0.048771932721138,0.4998847544193268,0.4105782210826874,-0.057949844747781754,0.5016868710517883,0.4716705083847046,-0.05764523893594742,0.41755393147468567,0.4282684922218323,-0.03157736733555794,0.438625305891037,0.3472975194454193,-0.05988076329231262,0.47162047028541565,0.42042282223701477,-0.05593971535563469,0.4794825315475464,0.4800187349319458,-0.045577894896268845,0.38291075825691223,0.461850106716156,-0.04528173804283142,0.40340837836265564,0.3973429799079895,-0.06378726661205292,0.4353971481323242,0.43234434723854065,-0.057933151721954346,0.44846564531326294,0.4720475971698761,-0.04849966615438461,
unkown,0.4473932683467865,0.6483319997787476,-3.960643084610638e-07,0.4915851652622223,0.5839419960975647,-0.008287394419312477,0.5173666477203369,0.4998653531074524,-0.018714819103479385,0.5324353575706482,0.4438934624195099,-0.03371848911046982,0.5403496623039246,0.39526569843292236,-0.04582817107439041,0.48294058442115784,0.3966178596019745,-0.00985497236251831,0.4994063973426819,0.31212374567985535,-0.04203406348824501,0.5217704176902771,0.3784545958042145,-0.060950860381126404,0.5244885683059692,0.4331323206424713,-0.06751077622175217,0.4520627558231354,0.40837156772613525,-0.02013334445655346,0.471696138381958,0.32051342725753784,-0.0515461228787899,0.5009675025939941,0.4011092782020569,-0.061515163630247116,0.5060129165649414,0.46270379424095154,-0.06159814074635506,0.4191015362739563,0.4298732578754425,-0.03391645476222038,0.43597450852394104,0.3435402512550354,-0.06306181848049164,0.472053587436676,0.4140414297580719,-0.059804659336805344,0.483325332403183,0.4740086793899536,-0.0496567003428936,0.38487958908081055,0.4629177153110504,-0.04852061718702316,0.40135544538497925,0.3945934474468231,-0.06736952811479568,0.4345529079437256,0.42647069692611694,-0.06212271377444267,0.4501720070838928,0.4655363857746124,-0.05309781804680824,
unkown,0.4452800452709198,0.6508257389068604,-3.449377175002155e-07,0.4899154007434845,0.5867382287979126,-0.00640017120167613,0.5168428421020508,0.5040148496627808,-0.015150626190006733,0.5325048565864563,0.44630134105682373,-0.029002372175455093,0.5409121513366699,0.3966217041015625,-0.040664106607437134,0.4816574454307556,0.39691197872161865,-0.004679941572248936,0.49788692593574524,0.310241162776947,-0.03508276119828224,0.5219160318374634,0.3650549650192261,-0.054425787180662155,0.5272171497344971,0.4179038107395172,-0.06148962676525116,0.4520997703075409,0.40691447257995605,-0.01510069239884615,0.4689593017101288,0.3180372416973114,-0.04449290409684181,0.4997580051422119,0.3894379138946533,-0.055783871561288834,0.5071616172790527,0.44971901178359985,-0.05742468684911728,0.4205387234687805,0.4279288053512573,-0.028912262991070747,0.4342062473297119,0.33865904808044434,-0.056914184242486954,0.4715999364852905,0.4043935537338257,-0.05550478771328926,0.4843260943889618,0.46581751108169556,-0.04698311910033226,0.3866680860519409,0.4608328342437744,-0.043470196425914764,0.40143778920173645,0.39016586542129517,-0.06289845705032349,0.4354380667209625,0.4193578362464905,-0.05936169624328613,0.4528557062149048,0.4595898687839508,-0.05152645334601402,
