ts,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
unkown,-0.0060557350516319275,0.09348797798156738,0.023653872311115265,0.023837391287088394,0.06802353262901306,0.026330051943659782,0.04775150120258331,0.04244149476289749,0.027311954647302628,0.05946303904056549,0.016915302723646164,0.011904877610504627,0.041408490389585495,0.012221941724419594,-0.0017043569823727012,0.02009415253996849,-0.007733108475804329,0.02240675687789917,0.043758392333984375,-0.00526881217956543,-0.0009168068645521998,0.04681682959198952,0.011574726551771164,0.006550552789121866,0.03434951975941658,0.02656995877623558,0.02584780752658844,-0.001826835097745061,-0.006263625808060169,0.008378766477108002,0.02711331658065319,-0.007009750697761774,-0.014826500788331032,0.031065482646226883,0.016364209353923798,-0.009271633811295033,0.0157745610922575,0.023896876722574234,0.009487442672252655,-0.015581893734633923,0.004160579759627581,-0.014273502863943577,0.011705401353538036,0.007490390446037054,-0.02932855673134327,0.0203146580606699,0.026683222502470016,-0.018791841343045235,0.005106150172650814,0.035014808177948,-0.004335812758654356,-0.02568812482059002,0.023400630801916122,-0.028941424563527107,-0.002981535391882062,0.01952259987592697,-0.038914524018764496,0.00873124785721302,0.02913982979953289,-0.031189559027552605,-0.005921505857259035,0.03770475089550018,-0.021921910345554352,
unkown,-0.007169008255004883,0.09319725632667542,0.02227664180099964,0.022706622257828712,0.06806153804063797,0.02510078437626362,0.04672326147556305,0.04261186346411705,0.0254618339240551,0.057444825768470764,0.01692667230963707,0.008959991857409477,0.038592178374528885,0.011911378242075443,-0.0050489515997469425,0.020408108830451965,-0.007743452209979296,0.02214019186794758,0.04353681579232216,-0.00424342043697834,-0.0019466570811346173,0.04473083093762398,0.012321004644036293,0.0054160295985639095,0.03192754089832306,0.02730581909418106,0.025358568876981735,-0.002225027419626713,-0.005865456070750952,0.008505897596478462,0.026626689359545708,-0.0072011216543614864,-0.0158658716827631,0.030324475839734077,0.01740153506398201,-0.01063683070242405,0.014844769611954689,0.024226268753409386,0.008465330116450787,-0.015344851650297642,0.004086227156221867,-0.013995951041579247,0.011501205153763294,0.007235062308609486,-0.030620474368333817,0.019690928980708122,0.026604820042848587,-0.019433138892054558,0.003511528018862009,0.034769605845212936,-0.004643477965146303,-0.02558799833059311,0.022863909602165222,-0.02903113327920437,-0.003915461245924234,0.019861465319991112,-0.039686333388090134,0.00817044172435999,0.029762713238596916,-0.03304898366332054,-0.007101123221218586,0.03835000842809677,-0.02371845953166485,
unkown,-0.005298292264342308,0.09216907620429993,0.01944335736334324,0.02416972629725933,0.06751223653554916,0.02357226237654686,0.047911178320646286,0.040724728256464005,0.026144955307245255,0.05753223970532417,0.01615975610911846,0.015056914649903774,0.03954150527715683,0.011633813381195068,0.004440248943865299,0.019869286566972733,-0.008175114169716835,0.02213023230433464,0.04241646081209183,-0.003684026189148426,-0.0007089069113135338,0.0437980480492115,0.011989972554147243,0.00642855279147625,0.03069465048611164,0.027563540264964104,0.026042157784104347,-0.0023929476737976074,-0.005716824904084206,0.008491426706314087,0.026119010522961617,-0.006805562414228916,-0.01519919466227293,0.029761042445898056,0.01762494444847107,-0.009647339582443237,0.014739316888153553,0.0240198764950037,0.0088720778003335,-0.015275754034519196,0.0041405013762414455,-0.01399882324039936,0.01137959212064743,0.007610726170241833,-0.03069857880473137,0.0204779040068388,0.02721310406923294,-0.018099617213010788,0.004551315680146217,0.034934982657432556,-0.0036886613816022873,-0.025064636021852493,0.022237176075577736,-0.029569055885076523,-0.002486189128831029,0.0197774525731802,-0.04024660959839821,0.008733391761779785,0.029434261843562126,-0.03373722359538078,-0.006311958655714989,0.038003601133823395,-0.024287478998303413,
unkown,-0.004954998381435871,0.09016485512256622,0.025632167235016823,0.023111242800951004,0.0666615292429924,0.021853959187865257,0.0438896119594574,0.04400831460952759,0.01646347902715206,0.05732147768139839,0.020375000312924385,0.0024410441983491182,0.0563301257789135,0.00019585713744163513,-0.009122264571487904,0.02124994993209839,-0.005584110505878925,0.01728718727827072,0.039950497448444366,-0.011633227579295635,-0.007929980754852295,0.04697645455598831,0.004460332915186882,-0.0074327560141682625,0.036879993975162506,0.02394956909120083,0.006400170736014843,-0.00034999498166143894,-0.00548778148368001,0.007685287389904261,0.025011543184518814,-0.015730559825897217,-0.024227989837527275,0.034924838691949844,0.011805638670921326,-0.023253504186868668,0.01913508214056492,0.02585744485259056,0.0016969165299087763,-0.016474682837724686,0.001415521139279008,-0.010625138878822327,0.007969149388372898,-0.003991421777755022,-0.03388117626309395,0.02104989066720009,0.017791852355003357,-0.030743859708309174,0.010392064228653908,0.03155437856912613,-0.010564062744379044,-0.02763846144080162,0.01932189241051674,-0.024701550602912903,-0.009707985445857048,0.009253066033124924,-0.0395667590200901,0.005853073671460152,0.021782156080007553,-0.038292914628982544,-0.0012386231683194637,0.03420861437916756,-0.027087511494755745,
unkown,-0.006799936294555664,0.08969816565513611,0.029001804068684578,0.02120095118880272,0.06683415174484253,0.023223431780934334,0.04167623072862625,0.04299723356962204,0.015732763335108757,0.05468209087848663,0.018073812127113342,0.0010874485597014427,0.0545821376144886,-0.003369891084730625,-0.009073314256966114,0.021644074469804764,-0.004674088209867477,0.01485766377300024,0.03863019868731499,-0.015402602031826973,-0.009450044482946396,0.04595430940389633,0.0007076268084347248,-0.010576813481748104,0.03870861977338791,0.022514181211590767,0.0011835573241114616,-0.0003476552083157003,-0.004870234988629818,0.006958653684705496,0.022727979347109795,-0.019787171855568886,-0.02683127671480179,0.0338965468108654,0.008886227384209633,-0.02701113000512123,0.021271422505378723,0.026974499225616455,-0.002334766322746873,-0.015703659504652023,0.0008928896859288216,-0.009237409569323063,0.005639604292809963,-0.009627502411603928,-0.03453385457396507,0.01864701509475708,0.013107452541589737,-0.03483933210372925,0.011243196204304695,0.030446359887719154,-0.015371187590062618,-0.027753163129091263,0.01877877674996853,-0.021680330857634544,-0.013792569749057293,0.005332543049007654,-0.03682822361588478,0.002108595799654722,0.01707688719034195,-0.0401383601129055,-0.003631219733506441,0.032179202884435654,-0.030011652037501335,
unkown,-0.0075461785309016705,0.09064819663763046,0.026793843135237694,0.021771257743239403,0.06742456555366516,0.021473316475749016,0.04041771963238716,0.04212478920817375,0.016157662495970726,0.05270399898290634,0.01673804223537445,0.0050323340110480785,0.052969008684158325,-0.004810791928321123,-0.00028798391576856375,0.021653778851032257,-0.004350078757852316,0.015388301573693752,0.038720373064279556,-0.017298221588134766,-0.0075811767019331455,0.045067429542541504,-0.0034431307576596737,-0.010387672111392021,0.0402119979262352,0.021941201761364937,-0.0026564234867691994,-0.0006808940670453012,-0.005099625326693058,0.007259646896272898,0.021386992186307907,-0.022788390517234802,-0.02575119584798813,0.0336335264146328,0.005163404159247875,-0.02823183313012123,0.024015087634325027,0.025810424238443375,-0.004965015687048435,-0.015682466328144073,0.0012463022721931338,-0.009492308832705021,0.004373807460069656,-0.012392373755574226,-0.0347418375313282,0.018829671666026115,0.009565011598169804,-0.036549221724271774,0.01398441195487976,0.02920362912118435,-0.019544409587979317,-0.028161006048321724,0.01900731958448887,-0.022788172587752342,-0.0158702302724123,0.0026039378717541695,-0.037155911326408386,0.0014923525741323829,0.013246415182948112,-0.04243764281272888,-0.0008211941458284855,0.030229074880480766,-0.03400379419326782,
unkown,-0.006604135036468506,0.0886387825012207,0.030421705916523933,0.022616149857640266,0.06462295353412628,0.02436639368534088,0.040370870381593704,0.038994066417217255,0.01533996406942606,0.051750682294368744,0.01399139128625393,-0.00039032474160194397,0.05057254806160927,-0.007318693213164806,-0.011574985459446907,0.021933358162641525,-0.004405268467962742,0.014553898945450783,0.03660518303513527,-0.020408421754837036,-0.005999435670673847,0.044343575835227966,-0.00801369734108448,-0.012000733986496925,0.04234282672405243,0.01738644205033779,-0.009291271679103374,-0.0005038496456108987,-0.004694890696555376,0.006765712983906269,0.01853407360613346,-0.027641605585813522,-0.0240402203053236,0.032036032527685165,-0.0012091122334823012,-0.029873618856072426,0.02600526623427868,0.02091068960726261,-0.011645742692053318,-0.015533985570073128,0.0014568520709872246,-0.008703377097845078,0.0013724148739129305,-0.015800368040800095,-0.03244376927614212,0.017671620473265648,0.003741038264706731,-0.0381925068795681,0.018582584336400032,0.024869877845048904,-0.027472859248518944,-0.028816958889365196,0.019379565492272377,-0.02115056663751602,-0.020254449918866158,0.00013409520033746958,-0.0345907062292099,-0.0015614748699590564,0.006876825820654631,-0.04413719102740288,0.0012274078326299787,0.02353987842798233,-0.04107118025422096,
unkown,-0.007831891067326069,0.08989004790782928,0.028337305411696434,0.022013630717992783,0.06580129265785217,0.02257647179067135,0.039142582565546036,0.04003027826547623,0.012604555115103722,0.05039716511964798,0.015454359352588654,-0.003263214137405157,0.05060640349984169,-0.006096097640693188,-0.014589251950383186,0.022454433143138885,-0.004176146816462278,0.014426616951823235,0.03678891807794571,-0.02144402079284191,-0.005470359232276678,0.04432743415236473,-0.01015906035900116,-0.013742676004767418,0.043136291205883026,0.014057089574635029,-0.014889485202729702,-0.00043055706191807985,-0.005090006161481142,0.007020669989287853,0.017990441992878914,-0.029329553246498108,-0.022711578756570816,0.031372975558042526,-0.004145583137869835,-0.030816813930869102,0.027882039546966553,0.017766904085874557,-0.016550574451684952,-0.015803290531039238,0.0011521687265485525,-0.008599773980677128,0.00041875193710438907,-0.0172615684568882,-0.03189244121313095,0.017304299399256706,0.0011542689753696322,-0.04016006365418434,0.021408921107649803,0.023411814123392105,-0.03250375762581825,-0.029299955815076828,0.01915394514799118,-0.02081921510398388,-0.020572450011968613,-0.0003004746395163238,-0.03470393270254135,-0.0017691111424937844,0.0053033786825835705,-0.045950718224048615,0.002897578524425626,0.021892741322517395,-0.0444880872964859,
unkown,-0.006957706995308399,0.08932733535766602,0.028452323749661446,0.02306617610156536,0.0645066499710083,0.023137575015425682,0.03952215611934662,0.039219487458467484,0.013465049676597118,0.05066477507352829,0.01411699689924717,-0.001967484364286065,0.05091164633631706,-0.007288851775228977,-0.012546480633318424,0.02230086550116539,-0.005003312602639198,0.014991749078035355,0.03553637117147446,-0.023767763748764992,-0.0034293634817004204,0.04425322264432907,-0.014184200204908848,-0.01331897359341383,0.04590426757931709,0.009957882575690746,-0.018409395590424538,-0.0005272007547318935,-0.004966669250279665,0.007140083238482475,0.017337679862976074,-0.03154507279396057,-0.0218120738863945,0.03218081593513489,-0.007586702238768339,-0.030732454732060432,0.030547982081770897,0.014752696268260479,-0.019030524417757988,-0.015545925125479698,0.0018914841348305345,-0.008967028930783272,-0.0008598655695095658,-0.018747281283140182,-0.03186758980154991,0.017341826111078262,-0.0016688606701791286,-0.04032871499657631,0.023176584392786026,0.020607447251677513,-0.034807875752449036,-0.028549328446388245,0.019868550822138786,-0.02117340825498104,-0.021707508713006973,-0.0011167830089107156,-0.03438330441713333,-0.00254359794780612,0.002726678503677249,-0.04592060297727585,0.00315437326207757,0.018915096297860146,-0.04566909000277519,
unkown,-0.008067666552960873,0.09143062680959702,0.02491448074579239,0.022891882807016373,0.06636136025190353,0.020653709769248962,0.0406290665268898,0.040977902710437775,0.01093787420541048,0.05187997594475746,0.015600999817252159,-0.004554102197289467,0.052260346710681915,-0.006806269753724337,-0.015725383535027504,0.022398946806788445,-0.004217091947793961,0.015476085245609283,0.03559477627277374,-0.025489546358585358,-0.0034796446561813354,0.044060319662094116,-0.017605917528271675,-0.014592778868973255,0.04697282239794731,0.004460276570171118,-0.02473198063671589,-0.00025435833958908916,-0.005076291970908642,0.007040868047624826,0.016382813453674316,-0.03285017982125282,-0.02097119763493538,0.03162020817399025,-0.011381820775568485,-0.03239618241786957,0.03237191587686539,0.01084782462567091,-0.02519959956407547,-0.016072671860456467,0.0017525830771774054,-0.0092232720926404,-0.001959714340046048,-0.021017396822571754,-0.031465500593185425,0.01631704345345497,-0.0037890614476054907,-0.04219343513250351,0.02449806220829487,0.018580302596092224,-0.03863448649644852,-0.028985945507884026,0.019599415361881256,-0.022072508931159973,-0.022824015468358994,-0.0021112903486937284,-0.034517381340265274,-0.0030097609851509333,0.0009392534266225994,-0.04807661846280098,0.004972733557224274,0.017641812562942505,-0.04864168539643288,
